iid,name,county.x,street_str_addr1,street_city,street_state,street_zip,street_zip4,attending_district_institutional_id,district,school,x2017_18_total_enrollment,x2018_19_total_enrollment,x2018_19_american_indian_alaska_native,x2018_19_percent_american_indian_alaska_native,x2018_19_asian,x2018_19_percent_asian,x2018_19_native_hawaiian_pacific_islander,x2018_19_percent_native_hawaiian_pacific_islander,x2018_19_black_african_american,x2018_19_percent_black_african_american,x2018_19_hispanic_latino,x2018_19_percent_hispanic_latino,x2018_19_white,x2018_19_percent_white,x2018_19_multiracial,x2018_19_percent_multiracial,address,lon,lat,county.y,district_id,district_name,institution_name,institution_type,student_group_type,student_group,approaches_to_learning_self_regulation_score,approaches_to_learning_interpersonal_skills_score,approaches_to_learning_total_score_score,approaches_to_learning_n,math_avg_number_correct_score,math_n,literacy_uppercase_letter_names_number_correct_score,literacy_uppercase_letter_names_number_correct_n,literacy_lowercase_letter_names_number_correct_score,literacy_lowercase_letter_names_number_correct_n,literacy_letter_sounds_number_correct_score,literacy_letter_sounds_number_correct_n
39,Wilson Elementary School,Benton,2701 NW Satinwood,Corvallis,OR,97330,3829,1901,Corvallis SD 509J,Wilson Elementary School,422,424,4,0.00943,34,0.08019,8,0.01887,11,0.02594,62,0.14623,269,0.63443,36,0.08491,2701 NW Satinwood Corvallis OR 97330,-123.256477,44.59521,Benton,1901,Corvallis SD 509J,Wilson Elementary School,School,Total Population,Total Population,3.1,3.4,3.2,65,11.4,66,17,66,14.7,66,10.4,66
40,Corvallis High School,Benton,1400 NW Buchanan Ave,Corvallis,OR,97330,5838,1901,Corvallis SD 509J,Corvallis High School,1241,1219,12,0.00984,57,0.04676,4,0.00328,12,0.00984,259,0.21247,779,0.63905,96,0.07875,1400 NW Buchanan Ave Corvallis OR 97330,-123.2687981,44.5754061,,,,,,,,,,,,,,,,,,,
41,Crescent Valley High School,Benton,4444 NW Highland Dr,Corvallis,OR,97330,9735,1901,Corvallis SD 509J,Crescent Valley High School,1001,995,5,0.00503,83,0.08342,7,0.00704,9,0.00905,81,0.08141,723,0.72663,87,0.08744,4444 NW Highland Dr Corvallis OR 97330,-123.26368,44.6155739,,,,,,,,,,,,,,,,,,,
42,Childrens Farm Home,Benton,4455 NE Hwy 20,Corvallis,OR,97330,9662,2098,Linn Benton Lincoln ESD,Childrens Farm Home,68,62,2,0.03226,1,0.01613,1,0.01613,3,0.04839,10,0.16129,37,0.59677,8,0.12903,4455 NE Hwy 20 Corvallis OR 97330,-123.2162967,44.6092076,,,,,,,,,,,,,,,,,,,
43,Monroe High School,Benton,365 N Fifth St,Monroe,OR,97456,9506,1898,Monroe SD 1J,Monroe High School,144,116,,0,,0,,0,1,0.00862,29,0.25,84,0.72414,2,0.01724,365 N Fifth St Monroe OR 97456,-123.296234,44.317991,,,,,,,,,,,,,,,,,,,
45,Cedaroak Park Primary School,Clackamas,4515 S Cedaroak Dr,West Linn,OR,97068,1618,1922,West Linn-Wilsonville SD 3J,Cedaroak Park Primary School,320,291,1,0.00344,9,0.03093,,0,2,0.00687,13,0.04467,237,0.81443,29,0.09966,4515 S Cedaroak Dr West Linn OR 97068,-122.634154,45.388598,Clackamas,1922,West Linn-Wilsonville SD 3J,Cedaroak Park Primary School,School,Total Population,Total Population,3.7,3.8,3.7,37,12.7,36,19.2,36,16.1,36,11.7,36
46,Inza R Wood Middle School,Clackamas,11055 SW Wilsonville Rd,Wilsonville,OR,97070,,1922,West Linn-Wilsonville SD 3J,Inza R Wood Middle School,556,532,4,0.00752,20,0.03759,4,0.00752,6,0.01128,134,0.25188,321,0.60338,43,0.08083,11055 SW Wilsonville Rd Wilsonville OR 97070,-122.7938996,45.3004551,,,,,,,,,,,,,,,,,,,
47,Stafford Primary School,Clackamas,19875 SW Stafford Rd,West Linn,OR,97068,9397,1922,West Linn-Wilsonville SD 3J,Stafford Primary School,452,431,,0,20,0.0464,,0,1,0.00232,16,0.03712,369,0.85615,25,0.058,19875 SW Stafford Rd West Linn OR 97068,-122.7029079,45.3777078,Clackamas,1922,West Linn-Wilsonville SD 3J,Stafford Primary School,School,Total Population,Total Population,3.8,4.2,3.9,69,12.5,68,18.7,68,15.4,68,11.3,68
48,Sunset Primary School,Clackamas,2351 Oxford St,West Linn,OR,97068,3898,1922,West Linn-Wilsonville SD 3J,Sunset Primary School,320,345,,0,13,0.03768,2,0.0058,1,0.0029,21,0.06087,271,0.78551,37,0.10725,2351 Oxford St West Linn OR 97068,-122.6272601,45.3615294,Clackamas,1922,West Linn-Wilsonville SD 3J,Sunset Primary School,School,Total Population,Total Population,3.8,3.9,3.8,60,12.2,60,20.1,60,16.5,60,11,60
51,West Linn High School,Clackamas,"5464 W ""A"" St",West Linn,OR,97068,3199,1922,West Linn-Wilsonville SD 3J,West Linn High School,1864,1866,6,0.00322,111,0.05949,5,0.00268,16,0.00857,99,0.05305,1495,0.80118,134,0.07181,"5464 W ""A"" St West Linn OR 97068",-122.6163404,45.3640822,,,,,,,,,,,,,,,,,,,
