tract_id,county,Diversity Index,Median Household Income,Population Under 18
41031960301,Jefferson,13.5,65490,14.2
41051000302,Multnomah,19.9,139519,23.6
41051000401,Multnomah,28.8,65843,17.8
41051000402,Multnomah,41.6,52713,17.4
41051000501,Multnomah,43,50500,18.1
41051000502,Multnomah,56.1,50172,20.1
41051000601,Multnomah,70.7,31338,27
41051000602,Multnomah,69.9,36944,24.5
41051000701,Multnomah,48.9,44306,16.6
41037960200,NA,32.3,NA,NA
41037960100,Lake,24.3,36250,19.6
41043030600,Linn,27.7,55547,28
41043030300,Linn,18.2,73594,19.4
41043020100,Linn,31.5,62500,23.2
41043020200,Linn,25.8,39295,17.7
41043030700,Linn,25,54336,19.9
41043020300,Linn,31.1,74231,25.1
41043020600,Linn,39,54196,24.1
41043030100,Linn,19.5,73646,22.4
41043030500,Linn,19.5,60156,21.9
41043030902,Linn,25.6,55294,22.2
41043020500,Linn,46.4,45461,20.6
41043030401,Linn,19.6,59363,24
41043030903,Linn,22.8,40313,23.8
41043030200,Linn,23.3,77725,23
41043020400,Linn,42.5,34393,23.4
41043030800,Linn,26.5,35385,23.4
41043030402,Linn,21.1,55139,23.5
41043030904,Linn,27.1,53529,24.5
41051000702,Multnomah,55.9,55125,18.5
41051000801,Multnomah,37.8,47348,16.3
41051000802,Multnomah,46.2,41661,16.1
41051000901,Multnomah,29.5,65347,15.8
41051000902,Multnomah,51,23467,16.6
41051001000,Multnomah,31.8,64000,12.7
41051001101,Multnomah,34.6,39306,4.4
41051001102,Multnomah,28.6,89955,10.8
41051001201,Multnomah,29.2,55500,8.7
41043020700,Linn,44.3,35833,25.4
41043020802,Linn,58.9,31193,29.3
41043020801,Linn,49.8,11319,22.1
41005022907,Clackamas,76.4,53790,32.3
41005022904,Clackamas,58.4,61579,29.5
41005022905,Clackamas,40.9,74949,24.3
41005023002,Clackamas,20.7,39917,20.4
41005023001,Clackamas,18.9,46806,21.6
41005023403,Clackamas,27,60988,28.2
41005023404,Clackamas,26,61595,26.1
41005023902,Clackamas,45.8,53672,27.4
41005023901,Clackamas,41.1,52601,30.7
41005024303,Clackamas,26.8,77301,18.5
41005024304,Clackamas,20,63214,17.4
41067031909,Washington,44.3,103872,32.5
41067031812,Washington,49.4,66216,19.8
41067031912,Washington,56.6,78375,26.4
41067031616,Washington,60.1,80486,15.1
41067031609,Washington,64,43141,22.9
41067032700,Washington,28.9,97250,23.3
41067031509,Washington,56.9,79211,26.5
41067031514,Washington,55,119250,29
41067031513,Washington,58.2,134972,34.8
41067030101,Washington,34.8,91010,13.8
41067030102,Washington,41.5,161250,22.8
41067031615,Washington,72.2,58977,29.3
41067032408,Washington,56.1,93357,27.4
41067032608,Washington,48.9,107750,21.6
41067032610,Washington,52.6,83382,30.6
41067031805,Washington,46,130385,26.7
41067031814,Washington,43.1,107386,29.5
41067032107,Washington,35.8,72563,23.2
41067032104,Washington,27.7,91250,31.1
41067032001,Washington,46.9,56026,23.4
41067032410,Washington,78.9,73958,30
41067032502,Washington,66.9,67870,26.1
41067032501,Washington,75.5,27151,19.3
41067032409,Washington,78.5,20048,36.5
41067033302,Washington,31.4,92332,25.3
41067032606,Washington,67.7,47089,27.6
41067031614,Washington,69.6,65774,30
41067032407,Washington,57.1,72004,29.9
41067032108,Washington,42.4,83611,25.4
41067033301,Washington,49.3,78207,29.6
41067031815,Washington,49.3,112704,25.4
41067031617,Washington,65,42019,18.1
41067032800,Washington,28.7,64479,20
41067032110,Washington,30.5,100602,12.4
41067032109,Washington,28.8,149219,33.7
41067032003,Washington,72,41552,24.8
41067032004,Washington,49.1,46744,22.8
41067032005,Washington,80.4,32560,29.1
41067030806,Washington,59,83393,28.4
41067032607,Washington,46.2,81563,9.1
41067032609,Washington,52.6,98929,26.8
41067033101,Washington,45.2,39279,24.3
41067033102,Washington,69.8,58267,25.9
41067032901,Washington,76.1,50911,30.9
41005022103,Clackamas,49.2,81563,28.2
41005020304,Clackamas,37,103713,26.8
41005020303,Clackamas,31.2,87054,16
41005021801,Clackamas,24.8,71940,19.7
41005021802,Clackamas,46.2,37833,24
41005020503,Clackamas,20.6,135521,22.8
41005023201,Clackamas,18.8,110054,21.3
41005024100,Clackamas,14.6,60144,22.6
41005023500,Clackamas,29.3,66821,21.3
41005023600,Clackamas,20,83750,18.9
41005024200,Clackamas,23.6,55426,22.8
41005024000,Clackamas,15.1,69081,24.5
41005024302,Clackamas,29.6,80205,21
41005023700,Clackamas,16.3,79583,20.8
41005020100,Clackamas,25.5,212917,23.5
41005020200,Clackamas,22.2,128800,19.2
41005020302,Clackamas,34.1,112841,22
41067033200,Washington,76.2,21518,24.3
41005020401,Clackamas,26.1,95341,23.1
41005020404,Clackamas,21.4,125954,23.9
41005020501,Clackamas,28.8,130927,27.1
41005020504,Clackamas,21.8,126538,24
41005020600,Clackamas,25.3,115163,26.2
41005020700,Clackamas,23.8,109405,26.7
41067031504,Washington,37.7,94216,22
41067031611,Washington,64.6,83347,22.5
41067031705,Washington,76.2,44531,30.1
41067031610,Washington,63.2,59205,21.6
41067031511,Washington,52.4,110074,27.9
41067031403,Washington,62.6,62891,23.8
41067032103,Washington,33.3,100906,32.6
41067031612,Washington,65,52639,27.3
41005020800,Clackamas,27,45417,18.3
41005020900,Clackamas,31.3,43274,20.8
41005021000,Clackamas,33.2,71750,22
41005021100,Clackamas,35.8,46638,21.1
41005021200,Clackamas,36.5,29549,16.5
41005021500,Clackamas,30.3,61094,18.6
41067030300,Washington,22.5,102303,22.3
41067030401,Washington,42.7,39663,19.1
41067030402,Washington,42,141019,17.7
41067030501,Washington,36.8,72652,18.8
41067030600,Washington,39.8,97443,20.2
41067031512,Washington,55.9,97917,29.5
41067031300,Washington,74.4,39069,21.9
41005021601,Clackamas,56.5,47459,24.3
41005021602,Clackamas,53.4,43399,23.3
41005022101,Clackamas,39.8,54519,21.7
41005022201,Clackamas,71.6,30408,20.1
41005022602,Clackamas,20.5,77368,22.6
41005022400,Clackamas,23.7,60994,21.3
41067031404,Washington,57.4,60765,22.7
41067031402,Washington,75.6,26295,19.6
41067031806,Washington,56.3,83281,24.9
41067031807,Washington,49.6,96063,20.1
41067031904,Washington,38.1,99632,22.5
41067032406,Washington,61.3,76451,28.8
41067032200,Washington,31,94554,29.2
41067032300,Washington,62.5,77176,27.3
41067032603,Washington,43.9,86125,30.8
41067032404,Washington,54.7,64971,27.1
41067032503,Washington,62.2,76818,25.1
41067032604,Washington,68.4,67576,27.3
41067031606,Washington,72,52574,28.8
