OBJECTID,GEOID10,County,TOTPOP_CY,POP18UNDER_CY,POP18UNDER_PCT,x,y
662,41005022800,Clackamas,3995,385,9.6,,
663,41005023800,Clackamas,6585,1448,22,,
664,41005980000,Clackamas,297,50,16.8,,
665,41005020505,Clackamas,2794,568,20.3,,
666,41005020403,Clackamas,3620,900,24.9,,
667,41005022107,Clackamas,3772,865,22.9,,
668,41005022105,Clackamas,6358,1527,24,,
669,41005022108,Clackamas,2826,600,21.2,,
670,41067031003,Washington,7416,1616,21.8,,
671,41067031004,Washington,7000,1500,21.4,,
672,41067031005,Washington,5720,1444,25.2,,
673,41067031006,Washington,6246,1409,22.6,,
674,41067031100,Washington,2728,611,22.4,,
675,41005022206,Clackamas,6564,1531,23.3,,
676,41005022205,Clackamas,3402,831,24.4,,
677,41005022208,Clackamas,6380,2021,31.7,,
678,41005022207,Clackamas,5122,1465,28.6,,
679,41005022301,Clackamas,3840,946,24.6,,
680,41005022708,Clackamas,3925,1143,29.1,,
681,41005022302,Clackamas,5289,1219,23,,
682,41005022606,Clackamas,4470,1158,25.9,,
683,41067031200,Washington,7441,1779,23.9,,
684,41067031507,Washington,5219,1375,26.3,,
685,41067031508,Washington,7749,2275,29.4,,
686,41067030502,Washington,3866,764,19.8,,
687,41067032902,Washington,7647,2392,31.3,,
688,41067030803,Washington,4843,765,15.8,,
689,41067031506,Washington,3887,993,25.5,,
690,41023960200,Grant,5442,1027,18.9,,
691,41023960100,Grant,2126,388,18.3,,
692,41005022605,Clackamas,7331,1720,23.5,,
693,41005022603,Clackamas,3204,987,30.8,,
694,41005022707,Clackamas,3993,1024,25.6,,
695,41005022710,Clackamas,2842,710,25,,
696,41005024400,Clackamas,6396,1654,25.9,,
697,41005022906,Clackamas,2940,622,21.2,,
698,41067030700,Washington,1546,287,18.6,,
699,41067030801,Washington,6974,1579,22.6,,
700,41067033000,Washington,5512,1164,21.1,,
701,41067033400,Washington,2353,570,24.2,,
702,41067033500,Washington,4045,1172,29,,
703,41067033600,Washington,2284,482,21.1,,
704,41067031911,Washington,4915,1058,21.5,,
705,41067031910,Washington,8131,2253,27.7,,
706,41067030805,Washington,3771,673,17.8,,
707,41067031907,Washington,5551,868,15.6,,
708,41067031908,Washington,6907,1925,27.9,,
709,41067031813,Washington,5818,1504,25.9,,
710,41047010801,Marion,5917,1653,27.9,,
711,41047010802,Marion,6235,1596,25.6,,
712,41047010702,Marion,6364,1469,23.1,,
713,41047001501,Marion,4437,1053,23.7,,
714,41047010501,Marion,5485,1264,23,,
715,41047001200,Marion,3598,706,19.6,,
716,41047001300,Marion,3969,802,20.2,,
717,41047010400,Marion,5210,1404,26.9,,
718,41047000900,Marion,5930,1207,20.4,,
719,41047001601,Marion,7810,2072,26.5,,
720,41047001702,Marion,5774,1763,30.5,,
721,41047002800,Marion,4092,895,21.9,,
722,41047001703,Marion,4347,1139,26.2,,
723,41047001603,Marion,6975,2121,30.4,,
724,41047002301,Marion,3180,821,25.8,,
725,41047010303,Marion,4884,1577,32.3,,
726,41047001000,Marion,3883,1071,27.6,,
727,41047001801,Marion,6575,1824,27.7,,
